city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Plettenberg Bay,ZA,71.2,clear sky,-34.0527,23.3716,Milkwood Manor
620,Tucuman,AR,71.6,scattered clouds,-26.8241,-65.2226,Suites San Luis
623,Tuy Hoa,VN,80.08,scattered clouds,13.0833,109.3,Vinh Tuan Hotel
626,Isla Mujeres,MX,77.16,light rain,21.2311,-86.731,Villa La Bella
631,Marsabit,KE,71.02,clear sky,2.3284,37.9899,Chicho Hotel
632,Itarema,BR,77.67,broken clouds,-2.9248,-39.9167,Pousada Oásis
641,Tutoia,BR,76.8,scattered clouds,-2.7619,-42.2744,Pousada San Vicente
643,Tagusao,PH,82.54,scattered clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
647,Douala,CM,78.71,mist,4.0483,9.7043,Hotel Man
661,Koungou,YT,82.11,light rain,-12.7336,45.2042,Hôtel Trévani
662,Key Largo,US,75.97,few clouds,25.0865,-80.4473,Key Largo Inn
665,Nicoya,CR,74.14,few clouds,10.1483,-85.452,Hotel marianela
667,Mae Sai,TH,89.53,few clouds,20.4335,99.8762,ปิยะพรฮิลล์ พาราไดซ์
669,Barahona,DO,72.37,clear sky,18.2085,-71.1008,Hotel Baramar
670,Sambava,MG,80.58,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
674,Bantilan,PH,80.91,scattered clouds,14.7519,121.6656,Coste Resort
676,Caravelas,BR,72.7,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
679,Marawi,PH,76.98,scattered clouds,7.9986,124.2928,Marawi Resort Hotel
684,Marco,US,71.62,clear sky,25.9726,-81.729,Snook Inn
685,Paita,PE,75.38,overcast clouds,-5.0892,-81.1144,Victor's
