City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Batagay,RU,67.6333,134.6333,-42.95,98,90,1.79,overcast clouds
213,Marsh Harbour,BS,26.5412,-77.0636,73.6,65,0,12.77,clear sky
214,Dongsheng,CN,39.8161,109.9776,35.13,54,49,17.49,scattered clouds
215,Mount Isa,AU,-20.7333,139.5,92.97,33,40,6.91,scattered clouds
216,Foam Lake,CA,51.65,-103.5343,23.02,87,72,9.62,broken clouds
217,Buraydah,SA,26.326,43.975,46.85,40,75,14.29,broken clouds
218,Dingle,PH,10.9995,122.6711,83.14,70,72,14.05,broken clouds
219,Tungi,BD,23.89,90.4058,75.2,69,0,9.22,haze
220,Faanui,PF,-16.4833,-151.75,82.13,70,9,12.48,clear sky
221,Tungor,RU,53.3808,142.9564,-9.89,88,7,9.13,clear sky
222,Eyl,SO,7.9803,49.8164,79.65,60,6,18.21,clear sky
223,Mnogovershinnyy,RU,53.9353,139.9242,-5.12,80,15,4.14,few clouds
224,Clyde River,CA,70.4692,-68.5914,-30.77,68,0,8.05,clear sky
225,Tashla,RU,51.7716,52.7427,14.5,100,89,7.63,overcast clouds
226,Manitouwadge,CA,49.1215,-85.8403,14.43,94,100,9.28,light snow
227,Port Blair,IN,11.6667,92.75,84.24,61,51,11.5,broken clouds
228,Magadi,IN,12.9667,77.2333,84.06,23,88,12.53,overcast clouds
229,Lodja,CD,-3.4833,23.4333,73.67,76,97,2.24,overcast clouds
230,Mahebourg,MU,-20.4081,57.7,84.49,65,75,10.36,light rain
231,Matagami,CA,49.7502,-77.6328,15.91,86,100,8.05,light snow
232,Alice Springs,AU,-23.7,133.8833,98.15,14,2,19.57,clear sky
233,Paamiut,GL,61.994,-49.6678,17.08,90,100,17.02,overcast clouds
234,Peniche,PT,39.3558,-9.3811,50.94,73,0,20.13,clear sky
235,Vila Velha,BR,-20.3297,-40.2925,75.15,90,20,4.61,few clouds
236,Oranjestad,AW,12.524,-70.027,78.91,83,75,14.97,broken clouds
237,Olinda,BR,-8.0089,-34.8553,80.33,78,75,6.91,broken clouds
238,College,US,64.8569,-147.8028,-5.21,79,40,0.0,light snow
239,Erzin,TR,36.9559,36.2,41.38,53,0,3.49,clear sky
240,Leningradskiy,RU,69.3833,178.4167,-31.56,97,79,7.4,broken clouds
241,Ha Tinh,VN,18.3333,105.9,80.55,74,41,5.5,scattered clouds
242,Westport,US,41.1415,-73.3579,53.24,85,100,6.91,overcast clouds
243,Ballina,AU,-28.8667,153.5667,81.79,69,0,11.34,clear sky
244,Severo-Kurilsk,RU,50.6789,156.125,19.94,59,85,23.49,overcast clouds
245,Teguldet,RU,57.3064,88.1667,-0.42,93,99,2.66,overcast clouds
